datetime,request_count
7/7/1995 14:35,297
7/7/1995 14:40,467
7/7/1995 14:45,413
7/7/1995 14:50,353
7/7/1995 14:55,377
7/7/1995 15:00,479
7/7/1995 15:05,417
7/7/1995 15:10,526
7/7/1995 15:15,471
7/7/1995 15:20,460
7/7/1995 15:25,488
7/7/1995 15:30,506
7/7/1995 15:35,478
7/7/1995 15:40,436
7/7/1995 15:45,505
7/7/1995 15:50,514
7/7/1995 15:55,472
7/7/1995 16:00,523
7/7/1995 16:05,538
7/7/1995 16:10,549
7/7/1995 16:15,458
7/8/1995 8:00,60
7/8/1995 8:05,72
7/8/1995 8:10,47
7/8/1995 8:15,52
7/8/1995 8:20,58
7/8/1995 8:25,58
7/8/1995 8:30,78
7/8/1995 8:35,133
7/8/1995 8:40,59
7/8/1995 8:45,133
7/8/1995 8:50,154
7/8/1995 8:55,106
7/8/1995 9:00,106
7/8/1995 9:05,71
7/8/1995 9:10,108
7/8/1995 9:15,127
7/8/1995 9:20,99
7/8/1995 9:25,89
7/8/1995 9:30,108
7/8/1995 9:35,105
7/8/1995 9:40,160
7/8/1995 9:45,99
7/8/1995 9:50,107
7/8/1995 9:55,97
7/8/1995 10:00,123
7/8/1995 10:05,163
7/8/1995 10:10,183
7/8/1995 10:15,184
7/8/1995 10:20,144
7/8/1995 10:25,214
7/8/1995 10:30,178
7/8/1995 10:35,135
7/8/1995 10:40,157
7/8/1995 10:45,124
7/8/1995 10:50,138
7/8/1995 10:55,126
7/8/1995 11:00,142
7/8/1995 11:05,117
7/8/1995 11:10,116
7/8/1995 11:15,148
7/8/1995 11:20,139
7/8/1995 11:25,153
7/8/1995 11:30,73
7/8/1995 11:35,132
7/8/1995 11:40,114
7/8/1995 11:45,123
7/8/1995 11:50,155
7/8/1995 11:55,146
7/8/1995 12:00,209
7/8/1995 12:05,155
7/8/1995 12:10,123
7/8/1995 12:15,149
7/8/1995 12:20,243
7/8/1995 12:25,112
7/8/1995 12:30,141
7/8/1995 12:35,92
7/8/1995 12:40,128
7/8/1995 12:45,146
7/8/1995 12:50,83
7/8/1995 12:55,133
7/8/1995 13:00,119
7/8/1995 13:05,163
7/8/1995 13:10,171
7/8/1995 13:15,154
7/8/1995 13:20,195
7/8/1995 13:25,196
7/8/1995 13:30,175
7/8/1995 13:35,111
7/8/1995 13:40,100
7/8/1995 13:45,165
7/8/1995 13:50,170
7/8/1995 13:55,195
7/8/1995 14:00,186
7/8/1995 14:05,153
7/8/1995 14:10,152
7/8/1995 14:15,177
7/8/1995 14:20,168
7/8/1995 14:25,262
7/8/1995 14:30,219
7/8/1995 14:35,220
7/8/1995 14:40,206
7/8/1995 14:45,234
7/8/1995 14:50,196
7/8/1995 14:55,214
7/8/1995 15:00,194
7/8/1995 15:05,164
7/8/1995 15:10,137
7/8/1995 15:15,169
7/8/1995 15:20,178
7/8/1995 15:25,153
7/8/1995 15:30,169
7/8/1995 15:35,174
7/8/1995 15:40,119
7/8/1995 15:45,200
7/8/1995 15:50,148
7/8/1995 15:55,180
7/8/1995 16:00,175
7/8/1995 16:05,171
7/8/1995 16:10,241
7/8/1995 16:15,147
7/9/1995 8:00,36
7/9/1995 8:05,40
7/9/1995 8:10,37
7/9/1995 8:15,61
7/9/1995 8:20,83
7/9/1995 8:25,70
7/9/1995 8:30,62
7/9/1995 8:35,56
7/9/1995 8:40,65
7/9/1995 8:45,72
7/9/1995 8:50,76
7/9/1995 8:55,50
7/9/1995 9:00,95
7/9/1995 9:05,75
7/9/1995 9:10,99
7/9/1995 9:15,56
7/9/1995 9:20,85
7/9/1995 9:25,84
7/9/1995 9:30,100
7/9/1995 9:35,128
7/9/1995 9:40,141
7/9/1995 9:45,86
7/9/1995 9:50,41
7/9/1995 9:55,78
7/9/1995 10:00,138
7/9/1995 10:05,112
7/9/1995 10:10,86
7/9/1995 10:15,133
7/9/1995 10:20,124
7/9/1995 10:25,91
7/9/1995 10:30,64
7/9/1995 10:35,107
7/9/1995 10:40,94
7/9/1995 10:45,110
7/9/1995 10:50,84
7/9/1995 10:55,129
7/9/1995 11:00,134
7/9/1995 11:05,145
7/9/1995 11:10,227
7/9/1995 11:15,151
7/9/1995 11:20,208
7/9/1995 11:25,156
7/9/1995 11:30,91
7/9/1995 11:35,172
7/9/1995 11:40,128
7/9/1995 11:45,172
7/9/1995 11:50,179
7/9/1995 11:55,173
7/9/1995 12:00,105
7/9/1995 12:05,159
7/9/1995 12:10,121
7/9/1995 12:15,148
7/9/1995 12:20,107
7/9/1995 12:25,136
7/9/1995 12:30,176
7/9/1995 12:35,195
7/9/1995 12:40,170
7/9/1995 12:45,124
7/9/1995 12:50,155
7/9/1995 12:55,242
7/9/1995 13:00,173
7/9/1995 13:05,94
7/9/1995 13:10,134
7/9/1995 13:15,151
7/9/1995 13:20,197
7/9/1995 13:25,130
7/9/1995 13:30,98
7/9/1995 13:35,106
7/9/1995 13:40,194
7/9/1995 13:45,124
7/9/1995 13:50,140
7/9/1995 13:55,95
7/9/1995 14:00,119
7/9/1995 14:05,187
7/9/1995 14:10,162
7/9/1995 14:15,113
7/9/1995 14:20,175
7/9/1995 14:25,209
7/9/1995 14:30,215
7/9/1995 14:35,205
7/9/1995 14:40,191
7/9/1995 14:45,131
7/9/1995 14:50,204
7/9/1995 14:55,131
7/9/1995 15:00,123
7/9/1995 15:05,151
7/9/1995 15:10,131
7/9/1995 15:15,138
7/9/1995 15:20,105
7/9/1995 15:25,170
7/9/1995 15:30,104
7/9/1995 15:35,131
7/9/1995 15:40,113
7/9/1995 15:45,170
7/9/1995 15:50,213
7/9/1995 15:55,210
7/9/1995 16:00,191
7/9/1995 16:05,151
7/9/1995 16:10,198
7/9/1995 16:15,173
7/10/1995 8:00,156
7/10/1995 8:05,235
7/10/1995 8:10,204
7/10/1995 8:15,194
